backend,group,scenario,controller,seed,person_delay_s,max_norm_wait,ped_mean_wait_s,veh_mean_wait_s,starvation_violations,ped_service_ratio,veh_service_ratio,jain
surrogate,nominal,C_LM,efpb,1022,9.44654583661676,0.57,15.142857142857142,8.783989834815756,0,1.0,0.9961880559085133,0.9999963533964061
surrogate,nominal,C_LM,efpb,1012,10.036123123887052,0.57,17.363636363636363,9.364620938628159,0,1.0,0.9987966305655837,0.9999996375395899
surrogate,nominal,C_LM,efpb,1017,9.215979157620493,0.54,14.684782608695652,8.741104294478527,0,0.9891304347826086,1.0,0.9999701403404001
surrogate,nominal,C_LM,efpb,1026,10.403008298755188,0.57,17.091743119266056,9.707196029776675,0,1.0,0.9962779156327544,0.9999965236066422
surrogate,nominal,C_LM,efpb,1024,9.594492579565927,0.52,15.217821782178218,9.06105006105006,0,0.9801980198019802,0.9987789987789988,0.9999118509983723
surrogate,nominal,C_LM,efpb,1001,9.795386904761903,0.55,16.608695652173914,9.079572446555819,0,0.9826086956521739,1.0,0.9999230591675002
surrogate,nominal,C_LM,efpb,1027,9.693868142000921,0.57,15.233009708737864,9.112582781456954,0,1.0,0.9960264900662251,0.9999960370893213
surrogate,nominal,C_LM,efpb,1011,9.617062961973462,0.55,14.2,9.144316730523627,0,1.0,0.9961685823754789,0.9999963159717361
surrogate,nominal,C_LM,efpb,1013,9.399463567277605,0.57,13.693548387096774,8.8640522875817,0,1.0,0.9947712418300654,0.9999931291901205
surrogate,nominal,C_LM,efpb,1030,9.433167467398764,0.57,15.639175257731958,8.869829683698297,0,1.0,0.9975669099756691,0.9999985164129236
surrogate,nominal,C_LM,efpb,1016,9.916976665539398,0.53,16.422018348623855,9.256658595641646,0,1.0,0.9987893462469734,0.9999996331354953
surrogate,nominal,C_LM,efpb,1005,9.191785620457132,0.56,12.653225806451612,8.770114942528735,0,1.0,0.9974457215836526,0.9999983647438782
surrogate,nominal,C_LM,efpb,1020,9.550713492266942,0.55,15.067961165048544,9.018270401948843,0,1.0,0.9963459196102314,0.9999966497042432
surrogate,nominal,C_LM,efpb,1025,9.477516059957173,0.54,13.448,8.97911227154047,0,1.0,1.0,1.0
surrogate,nominal,C_LM,efpb,1014,9.542620087336246,0.53,15.90677966101695,8.811392405063291,0,1.0,0.9987341772151899,0.9999995989157892
surrogate,nominal,C_LM,efpb,1018,9.761145374449338,0.55,16.962962962962962,9.00379746835443,0,1.0,1.0,1.0
surrogate,nominal,C_LM,efpb,1003,8.99284031176364,0.56,14.326086956521738,8.507712082262211,0,1.0,1.0,1.0
surrogate,nominal,C_LM,efpb,1021,9.368444209785286,0.57,15.343434343434344,8.798245614035087,0,1.0,0.9962406015037594,0.9999964534228017
surrogate,nominal,C_LM,efpb,1008,9.474234169866929,0.52,16.72340425531915,8.809885931558936,0,1.0,0.9974651457541192,0.9999983895514094
surrogate,nominal,C_LM,efpb,1002,9.41543358568479,0.54,13.508928571428571,8.978960396039604,0,0.9910714285714286,0.9975247524752475,0.9999894690111811
